conference,year,title,authors
Western Finance Association,2020,Asset Pricing with Heterogeneous Agents and Long-Run Risk,
Western Finance Association,2020,Limited Household Risk-Sharing: General Equilibrium Implications for Interest Rates,Ole Wilms; Karl Schmedders; Walter Pohl
Western Finance Association,2020,SONOMA: a Small Open ecoNOmy for MAcroﬁnance,Indrajit Mitra; Yu Xu
Western Finance Association,2020,Optimal Time-Consistent Debt Policies,Mariano Croce; Mohammad Jahan-Parvar; Samuel Rosen
Western Finance Association,2020,Corporate Liquidity Management under Moral Hazard,Andrey Malenko; Anton Tsoy
Western Finance Association,2020,A Dynamic Theory of Learning and Relationship Lending,Barney Hartman-Glaser; Simon Mayer; Konstantin Milbradt
Western Finance Association,2020,How Does Liquidity Constraint Affect Employment and Wages? Evidence from Danish Mortgage Reform,Alex He; Daniel le Maire
Western Finance Association,2020,Does Formal Credit Lead to More Financial Inclusion or Distress? Results Using a Strict Scoring Rule Amongst Marginal Clients in Paraguay,Viviane Azevedo; Jeanne Lafortune; Liliana Olarte; Jose Tessada
Western Finance Association,2020,Moral Hazard versus Liquidity in Household Bankruptcy,Sasha Indarte
Western Finance Association,2020,Dark Knights: The Rise in Firm Intervention by CDS Investors,Andras Danis; Andrea Gamba
Western Finance Association,2020,Does Money Talk? Market Discipline through Selloffs and Boycotts,Nickolay Gantchev; Mariassunta Giannetti; Rachel Li
Western Finance Association,2020,Where Do Shareholder Gains in Hedge Fund Activism Come From? Evidence from Employee Pension Plans,Anup Agrawal; Yuree Lim
Western Finance Association,2020,Competition and Incentives in Mortgage Markets: The Role of Brokers,Claudia Robles-Garcia
Western Finance Association,2020,The Effects of Banking Competition on Growth and Financial Stability: Evidence from the National Banking Era,Stephan Luck; Mark Carlson; Sergio Correia
Western Finance Association,2020,Market Power in Small Business Lending: A Two Dimensional Bunching Approach,Natalie Bachas; Ernest Liu
Western Finance Association,2020,Common Shocks in Stocks and Bonds,Anna Cieslak; Hao Pang
Western Finance Association,2020,Central Banking with Many Voices: The Communications Arms Race,Annette Vissing-Jorgensen
